DATE;CE_PPSM;CE_PPSM1R;CE_PPSM2R;CE_PPSM_3R;CE_PPSM4PR;CE_NOS;C_PPSM;C_PPSM1R;C_PPSM2R;C_PPSM3R;C_PPSM4PR;C_NOS;FO_PPSM;FO_PPSM1R;FO_PPSM2R;FO_PPSM3R;FO_PPSM4PR;FO_NOS;HY_PPSM;HY_PPSM1R;HY_PPSM2R;HY_PPSM3R;HY_PPSM4PR;HY_NOS;KB_PPSM;KB_PPSM1R;KB_PPSM2R;KB_PPSM3R;KB_PPSM4PR;KB_NOS;LB_PPSM;LB_PPSM1R;LB_PPSM2R;LB_PPSM3R;LB_PPSM4PR;LB_NOS;RGH_PPSM;RGH_PPSM1R;RGH_PPSM2R;RGH_PPSM3R;RGH_PPSM4PR;RGH_NOS;SI_PPSM;SI_PPSM1R;SI_PPSM2R;SI_PPSM3R;SI_PPSM4PR;SI_NOS;VI_PPSM;VI_PPSM1R;VI_PPSM2R;VI_PPSM3R;VI_PPSM4PR;VI_NOS;MMA_PPSM;MMA_PPSM1R;MMA_PPSM2R;MMA_PPSM3R;MMA_PPSM4PR;MMA_NOS
10-2019;33176;35021;32271;33600;33187;549;40066;42956;39097;41123;38226;157;15384;19762;15642;14463;15615;45;22768;25299;22529;21466;24739;95;22595;25758;21772;22039;22098;52;33600;32982;32499;36580;32093;57;17969;8649;17630;17859;23913;40;26866;28721;25933;26763;29613;105;35568;37977;34656;35739;34726;146;27554,66667;28569,44444;26892,11111;27736,88889;28245,55556;1246
11-2019;32854;35534;31542;33059;33628;510;39920;44378;38727;39980;39196;152;15378;20411;16111;14395;15569;41;22751;27431;21987;21541;24511;78;22798;26554;21540;22425;23391;62;33029;33831;31752;35423;32503;54;17403;9262;17800;17943;23421;70;26346;27890;25716;25859;29035;104;35467;38086;34686;35380;33923;129;27327,33333;29264,11111;26651,22222;27333,88889;28353;1200
12-2019;33235;34873;32125;33723;33693;268;40661;45410;40041;40287;39671;86;15606;18665;16406;14287;16550;26;23200;27816;23596;21190;24800;45;22397;26176;21932;19609;24465;26;32649;33259;32479;32609;32772;30;17313;10192;17002;18908;22095;29;26528;26532;26407;27134;26559;57;36040;38728;35231;36022;33262;57;27514,33333;29072,33333;27246,55556;27085,44444;28207,44444;624
01-2020;33450;34811;32542;33679;34352;450;41338;44114;42009;39851;41291;131;15701;16460;16012;14844;16864;42;23294;28773;23232;22584;22777;79;21977;24289;21931;18971;26034;42;32306;31971;32563;32553;31587;55;17684;12530;18787;17279;20449;29;26543;26159;26762;26665;25200;90;36266;39252;35879;35508;34581;107;27617,66667;28706,55556;27746,33333;26881,55556;28126,11111;1025
02-2020;33553;35027;32947;33418;34423;428;41654;42794;42046;40657;42528;126;15968;17321;16104;15482;16313;36;23293;29145;23897;22207;22616;70;22153;25151;22304;18892;26887;37;32258;31603;32261;33312;30800;47;17839;19955;18797;16186;19719;39;26819;26863;27019;25950;26435;84;36475;40635;35434;35782;36209;110;27779,11111;29832,66667;27867,66667;26876,22222;28436,66667;977
03-2020;32571;32217;32180;32242;35180;464;38538;30366;39822;39230;43094;132;16124;17078;16359;15672;16393;51;22445;26733;22756;21484;23186;92;22293;24902;21867;21012;24772;44;32213;30580;31809;33792;30847;46;17180;15702;18397;15743;19936;47;26536;27556;26565;25045;27776;87;36029;41042;35412;34536;36676;121;27103,22222;27352,88889;27240,77778;26528,44444;28651,11111;1084
04-2020;31991;31939;31874;31361;33996;484;37393;26639;38339;38630;41535;150;16054;18854;16259;16045;15582;33;22196;26939;22969;20620;23668;71;22469;23504;21671;23120;25574;45;32729;31309;32889;33401;31662;53;17126;17534;17328;16531;18080;30;26759;29933;26032;25553;28264;87;35620;40983;34865;34428;36142;135;26926,33333;27514,88889;26914;26632,11111;28278,11111;1088
05-2020;31952;32068;31655;31447;33890;480;36918;27649;37834;38383;39460;113;15883;18391;15435;15752;15936;43;21617;24452;22485;19762;23858;85;22630;24647;21884;23215;23588;52;32421;31457;33115;32927;30867;50;17435;17510;16428;17191;19287;54;26847;30070;25641;27202;28795;106;35486;40716;34706;34631;35710;136;26798,77778;27440;26575,88889;26723,33333;27932,33333;1119
06-2020;32631;36071;32012;31649;33739;465;39463;42304;39138;39211;39327;145;15961;18257;15371;16103;15771;39;22146;28582;22201;20552;24035;75;22781;25312;22250;21901;23247;64;33156;34141;34496;32457;30867;53;17813;19069;15435;17079;21183;31;26834;30439;25212;28076;28402;83;35487;40566;35030;34249;35156;126;27363,55556;30526,77778;26793,88889;26808,55556;27969,66667;1081
07-2020;33646;36482;32602;32869;35391;451;40788;42021;40595;40590;40819;115;16386;19306;15744;15616;17422;32;22264;28479;22407;20827;23448;70;23117;27023;22921;20969;19504;49;33317;33318;34041;33270;32147;82;18531;19684;16361;17594;22726;46;27255;29292;26028;29418;28250;90;36152;40730;35231;34579;36025;110;27939,55556;30703,88889;27325,55556;27303,55556;28414,66667;1045
